original_title,year,genre,country,votes
Kiss Tomorrow Goodbye,1949,"Crime, Film-Noir, Thriller",USA,123
Knock,1949,Comedy,France,123
Konyaku yubiwa,1949,Drama,Japan,123
A Lady Without Passport,1949,"Crime, Drama, Film-Noir",USA,123
Last Holiday,1949,"Comedy, Drama, Romance",UK,123
Last of the Buccaneers,1949,"Action, Adventure, History",USA,123
The Lawless,1949,"Crime, Drama, Film-Noir",USA,123
Let's Dance,1949,"Comedy, Drama, Musical",USA,123
A Life of Her Own,1949,Drama,USA,123
The Lost Volcano,1949,Adventure,USA,123
Louisa,1949,"Comedy, Romance",USA,123
Love That Brute,1949,"Comedy, Crime",USA,123
Luci del varietà,1949,"Drama, Music, Romance",Italy,123
Lucky Losers,1949,"Action, Adventure, Comedy",USA,123
Ma and Pa Kettle Go to Town,1949,"Comedy, Crime",USA,123
Madeleine,1949,"Crime, Drama, Mystery",UK,123
The Magnificent Yankee,1949,"Biography, Drama",USA,123
The Man Who Cheated Himself,1949,"Crime, Drama, Film-Noir",USA,123
La marca del zorrillo,1950,"Comedy, Fantasy",Mexico,123
Mark of the Gorilla,1950,Adventure,USA,123
The Men,1950,Drama,USA,123
Meurtres,1950,Drama,France,123
The Milkman,1950,Comedy,USA,123
The Miniver Story,1950,Drama,UK,123
Miquette et sa mère,1950,Comedy,France,123
Mister 880,1950,"Comedy, Crime, Romance",USA,123
Montana,1950,Western,USA,123
Mosekongen,1950,Family,Denmark,123
Trio,1950,"Drama, Romance",UK,123
Mr. Music,1950,"Comedy, Music, Romance",USA,123
Mrs. O'Malley and Mr. Malone,1950,"Comedy, Crime, Mystery",USA,123
The Mudlark,1950,Drama,"UK, USA",123
Munekata kyôdai,1950,Drama,Japan,123
Murder Without Crime,1950,"Crime, Drama, Thriller",UK,123
My Blue Heaven,1950,"Drama, Musical",USA,123
My Friend Irma Goes West,1950,"Comedy, Crime, Musical",USA,123
Mystery Street,1950,"Crime, Drama, Film-Noir",USA,123
Mystery Submarine,1950,"Adventure, Crime, Drama",USA,123
Nancy Goes to Rio,1950,"Comedy, Musical",USA,123
Napoli milionaria,1950,Comedy,Italy,123
The Nevadan,1950,Western,USA,123
Never Fear,1950,Drama,USA,123
Never a Dull Moment,1950,"Comedy, Romance, Western",USA,123
The Next Voice You Hear...,1950,Drama,USA,123
Night and the City,1950,"Crime, Film-Noir, Mystery","UK, USA",123
No Sad Songs for Me,1950,Drama,USA,123
No Trace,1950,"Crime, Drama",UK,123
No Way Out,1950,"Crime, Drama, Film-Noir",USA,123
Non c'è pace tra gli ulivi,1950,Drama,Italy,123
North of the Great Divide,1950,"Action, Adventure, Music",USA,123
Olivia,1950,"Comedy, Drama",France,123
Los olvidados,1950,"Crime, Drama",Mexico,123
Once a Thief,1950,"Crime, Drama, Film-Noir",USA,123
One Way Street,1950,"Crime, Drama, Film-Noir",USA,123
Morning Departure,1950,"Drama, History, War",UK,123
Our Very Own,1950,"Drama, Romance",USA,123
Outrage,1950,"Crime, Drama, Film-Noir",USA,123
The Outriders,1950,"Romance, Western",USA,123
Outside the Wall,1950,"Crime, Drama, Film-Noir",USA,123
Pagan Love Song,1950,"Musical, Romance",USA,123
Paid in Full,1950,Drama,USA,123
Panic in the Streets,1950,"Crime, Drama, Film-Noir",USA,123
Perfect Strangers,1950,"Drama, Romance",USA,123
The Petty Girl,1950,"Biography, Comedy, Musical",USA,123
Please Believe Me,1950,"Comedy, Romance",USA,123
Pool of London,1950,"Crime, Drama",UK,123
Prehistoric Women,1950,"Adventure, Fantasy",USA,123
Pretty Baby,1950,Comedy,USA,123
Prima comunione,1950,Comedy,"Italy, France",123
Pygmy Island,1950,Adventure,USA,123
Quicksand,1950,"Crime, Drama, Film-Noir",USA,123
The Quiet Woman,1950,"Crime, Drama",UK,123
Radar Patrol vs. Spy King,1950,"Action, Adventure, Crime",USA,123
Radar Secret Service,1950,"Action, Crime, Drama",USA,123
Rashômon,1950,"Crime, Drama, Mystery",Japan,123
Der Rat der Götter,1950,History,East Germany,123
The Redhead and the Cowboy,1950,Western,USA,123
The Reformer and the Redhead,1950,"Comedy, Romance",USA,123
Return of the Frontiersman,1950,Western,USA,123
El rey del barrio,1950,"Comedy, Crime, Romance",Mexico,123
Riders of the Range,1950,Western,USA,123
Riding High,1950,Comedy,USA,123
Right Cross,1950,"Drama, Sport",USA,123
Rio Grande,1950,"Romance, Western",USA,123
The Rocking Horse Winner,1950,"Drama, Fantasy",UK,123
Rocky Mountain,1950,"Action, Adventure, Western",USA,123
Rogues of Sherwood Forest,1950,"Adventure, Drama",USA,123
La ronde,1950,"Drama, Romance",France,123
De røde heste,1950,"Drama, Family, Romance",Denmark,123
Saddle Tramp,1950,Western,USA,123
...Sans laisser d'adresse,1950,"Comedy, Drama",France,123
The Second Face,1950,Drama,USA,123
The Secret Fury,1950,"Crime, Drama, Film-Noir",USA,123
September Affair,1950,"Drama, Romance",USA,123
Seven Days to Noon,1950,"Drama, Thriller",UK,123
Shadow on the Wall,1950,"Crime, Drama, Film-Noir",USA,123
Shakedown,1950,"Crime, Drama, Film-Noir",USA,123
The Showdown,1950,"Mystery, Western",USA,123
Shûbun,1950,Drama,Japan,123
Side Street,1950,"Crime, Drama, Film-Noir",USA,123
Sierra,1950,Western,USA,123
El siete machos,1950,"Comedy, Western",Mexico,123
Singing Guns,1950,"Action, Adventure, Music",USA,123
The Skipper Surprised His Wife,1950,Comedy,USA,123
The Sleeping City,1950,"Crime, Drama, Film-Noir",USA,123
So Long at the Fair,1950,"Drama, Mystery",UK,123
"So Young, So Bad",1950,Drama,USA,123
Sobre las olas,1950,"Biography, Drama, Music",Mexico,123
Sous le ciel de Paris,1950,Drama,France,123
Southside 1-1000,1950,"Crime, Drama, Film-Noir",USA,124
Stage Fright,1950,"Film-Noir, Mystery, Thriller",UK,124
Stage to Tucson,1950,"Action, Adventure, Western",USA,124
Stars in My Crown,1950,"Drama, Family, Western",USA,124
Storm Over Wyoming,1950,"Action, Adventure, Drama",USA,124
Summer Stock,1950,"Musical, Romance",USA,124
The Sundowners,1950,Western,USA,124
Sunset Blvd.,1950,"Drama, Film-Noir",USA,124
Susana,1950,Drama,Mexico,124
Sånt händer inte här,1950,"Drama, Mystery, Thriller",Sweden,124
Tarzan and the Slave Girl,1950,"Action, Adventure",USA,124
The Tattooed Stranger,1950,"Crime, Drama, Film-Noir",USA,124
Tea for Two,1950,"Comedy, Musical, Romance",USA,124
They Were Not Divided,1950,"Drama, War",UK,124
This Side of the Law,1950,"Drama, Film-Noir, Mystery",USA,124
Three Came Home,1950,"Drama, War",USA,124
Three Husbands,1950,Comedy,USA,124
Three Little Words,1950,"Biography, Comedy, Musical",USA,124
Three Secrets,1950,Drama,USA,124
A Ticket to Tomahawk,1950,"Comedy, Music, Western",USA,124
Till glädje,1950,Drama,Sweden,124
To Please a Lady,1950,"Action, Romance, Sport",USA,124
The Toast of New Orleans,1950,Musical,USA,124
Tototarzan,1950,Comedy,Italy,124
Totò cerca moglie,1950,Comedy,Italy,124
Totò sceicco,1950,Comedy,Italy,124
Trail of Robin Hood,1950,"Musical, Western",USA,124
Three Steps North,1950,"Crime, Drama, Thriller","Italy, USA",124
Treasure Island,1950,"Adventure, Family","UK, USA",124
"Trigger, Jr.",1950,Western,USA,124
Triple Trouble,1950,"Action, Comedy, Crime",USA,124
Tripoli,1950,"Action, Adventure, History",USA,124
The Sound of Fury,1950,"Crime, Drama, Film-Noir",USA,124
The 20 Questions Murder Mystery,1950,"Crime, Mystery",UK,124
Two Flags West,1950,"Drama, Romance, War",USA,124
Two Lost Worlds,1950,"Adventure, Romance, Sci-Fi",USA,124
Two Weeks with Love,1950,"Comedy, Musical, Romance",USA,124
Under the Gun,1950,"Crime, Drama, Film-Noir",USA,124
The Underworld Story,1950,"Crime, Drama, Film-Noir",USA,124
Union Station,1950,"Crime, Drama, Film-Noir",USA,124
Mata au hi made,1950,"Drama, History",Japan,124
Vita da cani,1950,"Comedy, Drama",Italy,124
Víctimas del pecado,1950,"Drama, Musical, Crime",Mexico,124
Wabash Avenue,1950,Musical,USA,124
Wagon Master,1950,"Adventure, Western",USA,124
"Walk Softly, Stranger",1950,"Crime, Drama, Film-Noir",USA,124
Watch the Birdie,1950,"Comedy, Crime, Romance",USA,124
Waterfront,1950,Drama,UK,124
The West Point Story,1950,"Comedy, Music",USA,124
What the Butler Saw,1950,Comedy,UK,124
When Willie Comes Marching Home,1950,"Comedy, War",USA,124
Where Danger Lives,1950,"Crime, Film-Noir, Thriller",USA,124
The White Tower,1950,Adventure,USA,124
Winchester '73,1950,"Action, Drama, Western",USA,124
Wo zhe yi bei zi,1950,"Drama, History",China,124
The Woman in Question,1950,Mystery,UK,124
A Woman of Distinction,1950,Comedy,USA,124
Woman on the Run,1950,"Crime, Drama, Film-Noir",USA,124
The Wooden Horse,1950,"Drama, History, War",UK,124
Wyoming Mail,1950,"Action, Drama, Romance",USA,124
The Yellow Cab Man,1950,"Comedy, Drama, Romance",USA,124
Young Man with a Horn,1950,"Biography, Drama, Music",USA,124
Your Witness,1950,"Comedy, Crime, Drama",UK,124
Yuki fujin ezu,1950,"Drama, Romance",Japan,124
Åsa-Nisse på jaktstigen,1950,Comedy,Sweden,124
L'étrange Madame X,1950,Drama,France,124
El último caballo,1950,"Comedy, Drama",Spain,124
The 13th Letter,1950,"Film-Noir, Mystery",USA,124
A.T.M.: ¡¡A toda máquina!!,1950,"Comedy, Drama",Mexico,124
Bud Abbott Lou Costello Meet the Invisible Man,1950,"Comedy, Sci-Fi, Sport",USA,124
Achtung! Banditi!,1950,"Drama, War",Italy,124
Across the Wide Missouri,1950,"Adventure, Romance, Western",USA,124
The Adventurers,1950,Adventure,UK,124
Adventures of Captain Fabian,1950,Adventure,"France, USA",124
The African Queen,1950,"Adventure, Drama, Romance","UK, USA",124
Ahí viene Martín Corona,1950,"Comedy, Drama, Western",Mexico,124
Air Cadet,1950,"Biography, Drama, War",USA,124
Al Jennings of Oklahoma,1950,"Action, Romance, Western",USA,124
Alice in Wonderland,1950,"Animation, Adventure, Family",USA,124
Along the Great Divide,1950,"Adventure, Romance, Western",USA,124
An American in Paris,1950,"Drama, Musical, Romance",USA,124
Angels in the Outfield,1950,"Comedy, Family, Fantasy",USA,124
Anna,1950,"Drama, Romance","Italy, France",124
Anne of the Indies,1950,"Action, Adventure, Drama",USA,124
Apache Drums,1950,"Action, Adventure, Drama",USA,124
Appointment with Danger,1950,"Crime, Drama, Film-Noir",USA,124
Appointment with Venus,1950,"Comedy, Drama, War",UK,124
As Young as You Feel,1950,Comedy,USA,124
L'auberge rouge,1950,"Comedy, Crime",France,124
Awaara,1950,"Drama, Musical, Romance",India,124
Baazi,1950,"Crime, Drama, Musical",India,124
Bannerline,1950,Drama,USA,124
The Basketball Fix,1950,"Crime, Drama, Film-Noir",USA,124
Bedtime for Bonzo,1950,"Comedy, Family, Romance",USA,124
Behave Yourself!,1950,"Comedy, Crime",USA,124
Das Beil von Wandsbek,1950,Drama,East Germany,124
Belle Le Grand,1950,"Action, Adventure, Music",USA,124
Bellissima,1950,"Comedy, Drama",Italy,124
Best of the Badmen,1950,Western,USA,124
Ace in the Hole,1950,"Drama, Film-Noir",USA,124
The Big Night,1950,"Drama, Film-Noir, Thriller",USA,124
Bird of Paradise,1950,"Adventure, Drama, Romance",USA,124
The Blue Veil,1950,Drama,USA,124
Elephant Stampede,1950,"Action, Adventure, Crime",USA,124
Boniface somnambule,1950,Comedy,France,124
Bowery Battalion,1950,"Action, Comedy",USA,124
The Brave Bulls,1950,"Drama, Romance, Sport",USA,124
Bride of the Gorilla,1950,Horror,USA,124
Bright Victory,1950,"Drama, Romance, War",USA,124
The Browning Version,1950,Drama,UK,124
Bullfighter and the Lady,1950,"Drama, Romance, Sport","USA, Mexico",124
Call Me Mister,1950,Musical,USA,124
Callaway Went Thataway,1950,"Comedy, Western",USA,124
Calling Bulldog Drummond,1950,"Crime, Mystery",UK,124
Captain Horatio Hornblower R.N.,1950,"Action, Adventure, Drama",UK,124
Casque d'or,1950,"Crime, Drama, Romance",France,124
Cattle Drive,1950,"Action, Western",USA,124
Cause for Alarm!,1950,"Crime, Drama, Film-Noir",USA,124
Cavalry Scout,1950,Western,USA,124
Cave of Outlaws,1950,"Action, Drama, Romance",USA,124
El ceniciento,1950,Comedy,Mexico,124
Chained for Life,1950,"Crime, Drama, Film-Noir",USA,124
Chicago Calling,1950,"Drama, Film-Noir, Thriller",USA,124
Cielo negro,1950,Drama,Spain,124
The Cimarron Kid,1950,Western,USA,124
Circle of Danger,1950,"Drama, Mystery, Romance",UK,124
Cisaruv slavík,1950,"Animation, Family, Fantasy",Czechoslovakia,124
Císaruv pekar - Pekaruv císar,1950,"Comedy, Fantasy",Czechoslovakia,124
La città si difende,1950,"Crime, Drama",Italy,124
Close to My Heart,1950,Drama,USA,124
Cloudburst,1950,Mystery,UK,124
Come Fill the Cup,1950,Drama,USA,124
Comin' Round the Mountain,1950,"Comedy, Musical",USA,124
Crazy Over Horses,1950,"Action, Comedy, Sport",USA,124
Crosswinds,1950,"Adventure, Crime, Thriller",USA,124
Cry Danger,1950,"Crime, Drama, Film-Noir",USA,124
"Cry, the Beloved Country",1950,Drama,UK,124
The Dark Man,1950,"Crime, Thriller, Drama",UK,124
"Darling, How Could You!",1950,Comedy,USA,124
David and Bathsheba,1950,"Drama, History, Romance",USA,124
The Day the Earth Stood Still,1950,"Drama, Sci-Fi",USA,124
Dear Brat,1950,"Comedy, Romance",USA,124
Death of a Salesman,1950,Drama,USA,124
Decision Before Dawn,1950,"Drama, War","USA, West Germany",124
The Desert Fox: The Story of Rommel,1950,"Biography, Drama, War",USA,124
Detective Story,1950,"Crime, Drama, Film-Noir",USA,124
The Devil's Sleep,1950,"Crime, Drama",USA,124
Distant Drums,1950,"Action, Drama, Western",USA,124
Double Dynamite,1950,"Adventure, Comedy, Music",USA,124
Drums in the Deep South,1950,"Drama, History, Romance",USA,124
Elopement,1950,Comedy,USA,124
The Enforcer,1950,"Crime, Film-Noir, Thriller",USA,124
Europa '51,1950,Drama,Italy,124
Excuse My Dust,1950,"Comedy, Musical",USA,124
F.B.I. Girl,1950,"Crime, Drama, Film-Noir",USA,124
La famiglia Passaguai,1950,Comedy,Italy,124
Fanfaren der Liebe,1950,"Comedy, Romance",West Germany,124
The Fat Man,1950,"Crime, Drama, Film-Noir",USA,124
Father's Little Dividend,1950,"Comedy, Romance",USA,124
I figli di nessuno,1950,"Drama, Romance","Italy, France",124
Fingerprints Don't Lie,1950,"Crime, Drama",USA,124
The First Legion,1950,Drama,USA,124
Five,1950,"Drama, Horror, Sci-Fi",USA,124
Fixed Bayonets!,1950,"Action, Drama, War",USA,124
Flame of Araby,1950,Adventure,USA,124
Flaming Feather,1950,Western,USA,124
Flight to Mars,1950,Sci-Fi,USA,124
Flying Disc Man from Mars,1950,"Action, Adventure, Crime",USA,124
Flying Leathernecks,1950,"Action, Drama, War",USA,124
Follow the Sun,1950,"Biography, Drama, Sport",USA,124
Force of Arms,1950,"Drama, Romance, War",USA,124
Fort Defiance,1950,Western,USA,124
Fort Worth,1950,Western,USA,124
Fourteen Hours,1950,"Drama, Film-Noir, Thriller",USA,124
Francis Goes to the Races,1950,"Comedy, Fantasy",USA,124
The Frogmen,1950,"Adventure, Drama, War",USA,124
Fröken Julie,1950,"Drama, Romance",Sweden,124
Fury of the Congo,1950,"Action, Adventure, Crime",USA,124
The Galloping Major,1950,Comedy,UK,124
Det gamle guld,1950,"Comedy, Drama, Family",Denmark,124
"Garou Garou, le passe-muraille",1950,"Comedy, Fantasy","France, Italy, UK",124
Genji monogatari,1950,Drama,Japan,124
Ghost Chasers,1950,"Action, Adventure, Comedy",USA,124
Ginza keshô,1950,Drama,Japan,124
The Girl on the Bridge,1950,"Crime, Drama",USA,124
Go for Broke!,1950,"Drama, History, War",USA,124
Gold Raiders,1950,"Comedy, Western",USA,124
Golden Girl,1950,"Drama, Musical, Western",USA,124
The Golden Horde,1950,"Action, Adventure",USA,124
Golden Salamander,1950,"Adventure, Crime, Drama",UK,124
"Goodbye, My Fancy",1950,"Comedy, Romance",USA,124
Government Agents vs Phantom Legion,1950,"Action, Crime, Drama",USA,124
The Great Caruso,1950,"Biography, Drama, Music",USA,124
The Great Missouri Raid,1950,Western,USA,124
Green Grow the Rushes,1950,"Comedy, Thriller",UK,124
The Groom Wore Spurs,1950,Comedy,USA,124
Guardie e ladri,1950,"Comedy, Drama",Italy,124
Gunplay,1950,"Action, Adventure, Drama",USA,124
Hakuchi,1950,"Drama, Romance",Japan,124
Half Angel,1950,"Comedy, Romance",USA,124
Hallo Dienstmann,1950,Comedy,Austria,124
Happy Go Lovely,1950,"Comedy, Musical, Romance",UK,124
"Hard, Fast and Beautiful!",1950,"Drama, Romance, Sport",USA,124
The Harlem Globetrotters,1950,"Drama, Sport",USA,124
Das Haus in Montevideo,1950,Comedy,West Germany,124
He Ran All the Way,1950,"Crime, Drama, Film-Noir",USA,124
Hell Is Sold Out,1950,Drama,UK,124
Her First Romance,1950,"Drama, Romance",USA,124
Here Comes the Groom,1950,"Comedy, Musical, Romance",USA,124
High Treason,1950,"Crime, Drama, Thriller",UK,124
La hija del engaño,1950,"Comedy, Drama",Mexico,124
His Kind of Woman,1950,"Action, Crime, Film-Noir",USA,124
Hollywood Story,1950,"Crime, Drama, Film-Noir",USA,124
El hombre sin rostro,1950,"Horror, Mystery, Thriller",Mexico,124
Home to Danger,1950,"Crime, Drama, Mystery",UK,124
Home Town Story,1950,"Comedy, Drama, Romance",USA,124
Hon dansade en sommar,1950,"Drama, Romance",Sweden,124
Hong Kong,1950,"Adventure, Comedy, Drama",USA,124
The Hoodlum,1950,"Crime, Drama, Film-Noir",USA,124
Hot Lead,1950,"Action, Adventure, Drama",USA,124
Hotel Sahara,1950,"Comedy, Romance, War",UK,124
The House on Telegraph Hill,1950,"Crime, Drama, Film-Noir",USA,124
I Can Get It for You Wholesale,1950,"Drama, Romance",USA,124
I Want You,1950,Drama,USA,124
I Was a Communist for the F.B.I.,1950,"Crime, Drama, Film-Noir",USA,124
I Was an American Spy,1950,"Biography, Drama, War",USA,124
I'd Climb the Highest Mountain,1950,"Biography, Drama, Romance",USA,124
The House in the Square,1950,"Drama, Fantasy, Romance","UK, USA",124
I'll See You in My Dreams,1950,"Biography, Comedy, Musical",USA,124
Ibn el Nil,1950,"Drama, Romance, Thriller",Egypt,124
Imbarco a mezzanotte,1950,Drama,Italy,124
Inside Straight,1950,"Drama, Romance, Western",USA,124
Inside the Walls of Folsom Prison,1950,"Crime, Drama, Film-Noir",USA,124
Iron Man,1950,"Drama, Film-Noir, Sport",USA,124
It's a Big Country: An American Anthology,1950,"Comedy, Drama",USA,124
Where No Vultures Fly,1950,"Drama, Adventure",UK,124
Jeux interdits,1950,"Comedy, Drama, War",France,124
Jim Thorpe -- All-American,1950,"Biography, Drama, Sport",USA,124
Jungle Manhunt,1950,"Action, Adventure, Romance",USA,124
Tarzan's Peril,1950,"Action, Adventure, Drama",USA,124
Karumen kokyô ni kaeru,1950,Comedy,Japan,124
Kekec,1950,"Adventure, Family",Yugoslavia,124
Araki Mataemon: Kettô kagiya no tsuji,1950,"Action, Adventure, Drama",Japan,124
Kind Lady,1950,"Crime, Drama, Thriller",USA,124
Lady Godiva Rides Again,1950,Comedy,UK,124
The Lady Says No,1950,Comedy,USA,124
The Lady with a Lamp,1950,"Drama, History, War",UK,124
The Last Outpost,1950,Western,USA,124
The Late Edwina Black,1950,"Drama, Mystery",UK,124
Laughter in Paradise,1950,Comedy,UK,124
The Law and the Lady,1950,"Comedy, Drama, Romance",USA,124
The Lemon Drop Kid,1950,"Comedy, Crime, Music",USA,124
Let's Go Navy!,1950,Comedy,USA,124
Let's Make It Legal,1950,"Comedy, Drama, Romance",USA,124
The Light Touch,1950,"Crime, Drama",USA,124
Lightning Strikes Twice,1950,"Crime, Drama, Film-Noir",USA,124
The Lion Hunters,1950,Adventure,USA,124
Little Big Horn,1950,Western,USA,124
Lone Star,1951,"Action, Adventure, History",USA,124
The Long Dark Hall,1951,"Crime, Drama",UK,124
The Longhorn,1951,Western,USA,124
Lorna Doone,1951,"Adventure, Drama, Romance",USA,124
Lost Continent,1951,"Adventure, Fantasy, Sci-Fi",USA,124
Love Nest,1951,"Comedy, Drama, Romance",USA,124
Lullaby of Broadway,1951,"Comedy, Musical, Romance",USA,124
M,1951,"Drama, Film-Noir, Thriller",USA,125
Ma and Pa Kettle Back on the Farm,1951,Comedy,USA,125
The Magic Box,1951,"Biography, Drama",UK,125
The Magic Carpet,1951,"Action, Adventure, Fantasy",USA,125
The Magnet,1951,Comedy,UK,125
"Mamma mia, che impressione!",1951,Comedy,Italy,125
The Man from Planet X,1951,"Horror, Romance, Sci-Fi",USA,125
Man in the Saddle,1951,"Romance, Western",USA,125
The Man with a Cloak,1951,"Crime, Drama, Thriller",USA,125
The Mark of the Renegade,1951,"Adventure, Romance, Western",USA,125
Mask of the Avenger,1951,"Adventure, Drama, History",USA,125
The Mating Season,1951,"Comedy, Drama, Romance",USA,125
The Medium,1951,"Drama, Music","Italy, USA",125
Meet Me After the Show,1951,"Comedy, Music, Musical",USA,125
Meshi,1951,Drama,Japan,125
A Millionaire for Christy,1951,"Comedy, Romance",USA,125
Miracolo a Milano,1951,"Comedy, Drama, Fantasy",Italy,125
The Mob,1951,"Crime, Drama, Film-Noir",USA,125
The Model and the Marriage Broker,1951,"Comedy, Romance",USA,125
Monte Carlo Baby,1951,Comedy,France,125
Mr. Belvedere Rings the Bell,1951,Comedy,USA,125
Mr. Imperium,1951,"Drama, Musical, Romance",USA,125
Una mujer sin amor,1951,Drama,Mexico,125
Musashino fujin,1951,"Drama, Romance",Japan,125
My Favorite Spy,1951,"Comedy, Crime, Music",USA,125
My Forbidden Past,1951,"Crime, Drama, Romance",USA,125
My Outlaw Brother,1951,"Action, Romance, Western","USA, Mexico",125
My True Story,1951,"Crime, Drama, Romance",USA,125
Mysterious Island,1951,"Action, Sci-Fi",USA,125
Mød mig paa Cassiopeia,1951,"Romance, Comedy, Musical",Denmark,125
Nachts auf den Straßen,1951,Drama,West Germany,125
Never Trust a Gambler,1951,"Crime, Drama, Film-Noir",USA,125
New Mexico,1951,Western,USA,125
Night Into Morning,1951,"Drama, Romance",USA,125
Night Was Our Friend,1951,"Drama, Thriller",UK,125
No Highway,1951,"Drama, Thriller","UK, USA",125
No Questions Asked,1951,"Crime, Drama, Film-Noir",USA,125
Nous irons à Monte Carlo,1951,"Comedy, Musical",France,125
Odette,1951,"Drama, History, War",UK,125
Has Anybody Seen My Gal,1951,Comedy,USA,125
On Dangerous Ground,1951,"Drama, Film-Noir",USA,125
On Moonlight Bay,1951,"Comedy, Family, Musical",USA,125
On the Loose,1951,Drama,USA,125
On the Riviera,1951,"Comedy, Musical",USA,125
One Wild Oat,1951,Comedy,UK,125
Only the Valiant,1951,"Adventure, Western",USA,125
Operation Pacific,1951,"Drama, Romance, War",USA,125
Overland Telegraph,1951,"Action, Drama, Western",USA,125
Oyû-sama,1951,Drama,Japan,125
The Painted Hills,1951,"Drama, Family, Western",USA,125
Painting the Clouds with Sunshine,1951,Musical,USA,125
Pandora and the Flying Dutchman,1951,"Drama, Fantasy, Mystery",UK,125
Parigi è sempre Parigi,1951,Comedy,"Italy, France",125
Passage West,1951,Western,USA,125
Pathala Bhairavi,1951,"Action, Adventure, Family",India,125
Payment on Demand,1951,Drama,USA,125
Penny Points to Paradise,1951,"Comedy, Crime",UK,125
The People Against O'Hara,1951,"Crime, Drama, Film-Noir",USA,125
People Will Talk,1951,"Comedy, Drama, Romance",USA,125
Don Camillo,1951,Comedy,"Italy, France",125
Pickup,1951,"Drama, Film-Noir",USA,125
A Place in the Sun,1951,"Drama, Romance",USA,125
La poison,1951,"Comedy, Crime",France,125
The Prince Who Was a Thief,1951,Adventure,USA,125
The Prowler,1951,"Drama, Film-Noir, Thriller",USA,125
Quo Vadis,1951,"Biography, Drama, History",USA,125
¿Qué te ha dado esa mujer?,1951,"Comedy, Drama, Musical",Mexico,125
Racket Girls,1951,"Action, Crime, Drama",USA,125
The Racket,1951,"Crime, Drama, Film-Noir",USA,125
The Raging Tide,1951,"Crime, Drama, Film-Noir",USA,125
Raton Pass,1951,Western,USA,125
Rawhide,1951,"Drama, Romance, Western",USA,125
The Red Badge of Courage,1951,"Drama, War",USA,125
Red Mountain,1951,"Drama, Western",USA,125
El revoltoso,1951,Comedy,Mexico,125
Rhubarb,1951,"Comedy, Family, Sport",USA,125
"Rich, Young and Pretty",1951,"Comedy, Musical, Romance",USA,125
The River,1951,"Drama, Romance","France, UK, India, USA",125
Roadblock,1951,"Crime, Drama, Film-Noir",USA,125
Royal Wedding,1951,"Comedy, Musical, Romance",USA,125
Saddle Legion,1951,"Action, Adventure, Drama",USA,125
Sailor Beware,1951,"Comedy, Musical, Romance",USA,125
Santa Fe,1951,Western,USA,125
Saturday's Hero,1951,"Drama, Sport",USA,125
The Scarf,1951,"Drama, Film-Noir, Thriller",USA,125
Scarlet Thread,1951,Drama,UK,125
Lo sceicco bianco,1951,"Comedy, Drama",Italy,125
Scrooge,1951,"Drama, Fantasy",UK,125
Sealed Cargo,1951,"Drama, Romance, War",USA,125
The Second Woman,1951,"Drama, Film-Noir, Mystery",USA,125
Secret People,1951,"Crime, Drama",UK,125
The Secret of Convict Lake,1951,Western,USA,125
Les sept péchés capitaux,1951,Drama,"France, Italy",125
Shadow in the Sky,1951,Drama,USA,125
Show Boat,1951,"Drama, Family, Musical",USA,125
Silver City,1951,"Action, Adventure, Romance",USA,125
Sirocco,1951,"Action, Drama, Film-Noir",USA,125
Slaughter Trail,1951,Western,USA,125
Soldiers Three,1951,"Adventure, Comedy, War",USA,125
Sommarlek,1951,"Drama, Romance",Sweden,125
The Son of Dr. Jekyll,1951,"Crime, Horror, Romance",USA,125
St. Benny the Dip,1951,"Comedy, Crime",USA,125
Starlift,1951,Musical,USA,125
The Steel Helmet,1951,"Action, Drama, War",USA,125
Storm Warning,1951,"Crime, Drama, Film-Noir",USA,125
The Strange Door,1951,"Horror, Thriller",USA,125
Strangers on a Train,1951,"Crime, Film-Noir, Thriller",USA,125
A Streetcar Named Desire,1951,Drama,USA,125
Strictly Dishonorable,1951,"Comedy, Romance",USA,125
The Strip,1951,"Crime, Drama, Film-Noir",USA,125
Subida al cielo,1951,Comedy,Mexico,125
Submarine Command,1951,"Drama, War",USA,125
Sugarfoot,1951,"Action, Romance, Western",USA,125
The Sun Sets at Dawn,1951,"Crime, Drama, Film-Noir",USA,125
Superman and the Mole-Men,1951,"Action, Adventure, Drama",USA,125
Surcos,1951,Drama,Spain,125
The Sword of Monte Cristo,1951,"Adventure, Romance",USA,125
Die Sünderin,1951,Drama,West Germany,125
Take Care of My Little Girl,1951,Drama,USA,125
The Tales of Hoffmann,1951,"Fantasy, Music, Musical",UK,125
The Tall Target,1951,"Adventure, Crime, Drama",USA,125
The Tanks Are Coming,1951,"Action, Drama, War",USA,125
Taras Shevchenko,1951,"Biography, Drama, History",Soviet Union,125
Ten Tall Men,1951,"Action, Adventure, War",USA,125
Teresa,1951,Drama,USA,125
Texas Carnival,1951,"Comedy, Music, Romance",USA,125
The Texas Rangers,1951,"Action, Adventure, Drama",USA,125
That's My Boy,1951,"Comedy, Music, Sport",USA,125
There Is Another Sun,1951,Drama,UK,125
The Thing from Another World,1951,"Horror, Sci-Fi",USA,125
Three Guys Named Mike,1951,"Comedy, Romance",USA,125
Thunder on the Hill,1951,"Crime, Drama, Film-Noir",USA,125
Tom Brown's Schooldays,1951,Drama,UK,125
Tomahawk,1951,"History, Romance, Western",USA,125
